state,slug,title,type,rating,minPrice
Andaman & Nicobar,galathea-national-park,"Galathea National Park",wildlife,4.7,2500
Andaman & Nicobar,mount-manipur-national-park,"Mount Manipur National Park",wildlife,4.4,2500
Andaman & Nicobar,saddle-peak-national-park,"Saddle Peak National Park",wildlife,4.6,2500
Andaman & Nicobar,south-button-island-national-park,"South Button Island National Park",wildlife,4.1,2500
Andaman & Nicobar,sri-vetrimalai-murugan-temple,"Sri Vetrimalai Murugan Temple",spiritual,4.4,900
Andaman & Nicobar,kwangtung-island-wildlife-sanctuary,"Kwangtung Island Wildlife Sanctuary",wildlife,4.5,2500
Andaman & Nicobar,bamboo-island-wildlife-sanctuary,"Bamboo Island Wildlife Sanctuary",wildlife,4.3,2500
Andaman & Nicobar,havelock-island,"Havelock Island (Swaraj Dweep)",beach,4.9,3500
Andhra Pradesh,tirupati,"Tirupati",spiritual,4.6,900
Andhra Pradesh,visakhapatnam,"Visakhapatnam",beach,4.4,1200
Andhra Pradesh,araku-valley,"Araku Valley",hill_station,4.4,1100
Andhra Pradesh,tirumala-venkateswara-temple,"Tirumala Venkateswara Temple",spiritual,4.5,900
Andhra Pradesh,belum-caves,"Belum Caves",heritage,4.5,900
Andhra Pradesh,mallikarjuna-temple,"Mallikarjuna Temple",spiritual,4.7,900
Andhra Pradesh,simhachalam-temple,"Simhachalam Temple",spiritual,4.2,900
Andhra Pradesh,kanaka-durga-temple,"Kanaka Durga Temple",spiritual,4.4,900
Andhra Pradesh,srikalahasti-temple,"Srikalahasti Temple",spiritual,4.2,900
Andhra Pradesh,veerabhadra-temple,"Veerabhadra Temple",spiritual,4.3,900
Andhra Pradesh,arasavalli-sun-temple,"Arasavalli Sun Temple",spiritual,4.2,900
Andhra Pradesh,ethipothala-falls,"Ethipothala Falls",heritage,4.3,900
Andhra Pradesh,ramakrishna-mission-beach,"Ramakrishna Mission Beach",beach,4.7,1200
Andhra Pradesh,konda-reddy-fort,"Konda Reddy Fort",heritage,4.3,900
Andhra Pradesh,yaganti-temple,"Yaganti Temple",spiritual,4.6,900
Andhra Pradesh,sri-kodandrama-swamy-temple-vontimitta,"Sri Kodandrama Swamy Temple, Vontimitta",spiritual,4.6,900
Andhra Pradesh,papikonda-national-park,"Papikonda National Park",wildlife,4.1,2500
Andhra Pradesh,rushikonda-beach,"Rushikonda Beach",beach,4.3,1200
Andhra Pradesh,kondaveedu-fort,"Kondaveedu Fort",heritage,4.5,900
Andhra Pradesh,kondapalli-fort,"Kondapalli Fort",heritage,4.6,900
Andhra Pradesh,kanipakam-vinayaka-temple,"Kanipakam Vinayaka Temple",spiritual,4.8,900
